Dataset,Train loss,Train accuracy,Test loss,Test accuracy
ArrowHead,0.001117851585149765,1.0,0.9303053617477417,0.7542856931686401
Wine,0.2807669937610626,0.9122806787490845,0.5399209260940552,0.7777777910232544
OliveOil,0.18986420333385468,0.9333333373069763,0.5180342793464661,0.8666666746139526
Car,0.00121338851749897,1.0,0.6208231449127197,0.7833333611488342
BeetleFly,0.0016202438855543733,1.0,0.6123402714729309,0.75
